Date,Open,High,Low,Close,Volume
2005-02-25,28.8483,29.0349,28.8024,29.0019,316311.77147756
2005-02-28,29.0019,29.0349,28.7425,28.8842,536414.57663633
2005-03-01,28.8842,29.2524,28.8842,29.2114,418566.68656894
2005-03-02,29.0887,29.3821,29.0798,29.2284,385182.66538712
2005-03-03,29.4,29.4,29.0967,29.1935,120750.58695821
2005-03-04,29.2284,29.4679,29.2284,29.4419,216728.0190982
2005-03-07,29.4419,29.5686,29.426,29.4679,177291.03295655
2005-03-08,29.4838,29.4918,29.2753,29.3122,821543.40509927
2005-03-09,29.2673,29.2673,28.9441,28.986,600861.26333729
2005-03-10,28.97,29.1326,28.9022,29.0349,557122.35210745
2005-03-11,29.1406,29.1935,28.9171,29.0019,201256.32393014
2005-03-14,28.994,29.0798,28.9101,29.0438,440555.41736688
2005-03-15,29.2284,29.3471,29.0798,29.0798,1242205.9270269
2005-03-16,29.0109,29.0109,28.7785,28.9101,313867.13138201
2005-03-17,28.9351,29.0349,28.9022,28.9351,1140413.0779806
2005-03-18,28.9271,28.9271,28.5999,28.7266,1041643.2033207
2005-03-21,28.7515,28.7515,28.4023,28.5899,745461.87533593
2005-03-22,28.7515,28.7515,28.3325,28.3484,311189.95479521
2005-03-23,28.2806,28.3844,28.2088,28.2537,379826.30758858
2005-03-24,28.2367,28.4771,28.2367,28.2976,373778.35419107
2005-03-28,28.3415,28.5809,28.3245,28.4951,587829.19670247
2005-03-29,28.3664,28.4771,28.117,28.1349,313629.58332844
2005-03-30,28.1529,28.5899,28.1529,28.5899,817587.27781057
2005-03-31,28.4542,28.6697,28.4542,28.5041,1223588.9753521
2005-04-01,28.6268,28.7685,28.2088,28.2806,840275.62270719
2005-04-04,28.2367,28.4372,28.102,28.3584,407512.18242224
2005-04-05,28.4113,28.5899,28.4113,28.531,312122.10538514
2005-04-06,28.7106,28.7106,28.3754,28.4113,664842.87705575
2005-04-07,28.3664,28.5729,28.2976,28.54,240689.30082195
2005-04-08,28.521,28.5999,28.2806,28.3145,540598.22885397
2005-04-11,28.4023,28.4023,28.1529,28.1599,251161.46142806
2005-04-12,28.2367,28.4871,27.9524,28.4283,1607023.607805
2005-04-13,28.2806,28.3754,27.9334,27.9983,342948.22516318
2005-04-14,27.9334,27.9983,27.5952,27.6102,342833.96154248
2005-04-15,27.5054,27.5054,27.0175,27.0524,2040364.3800682
2005-04-18,26.9896,27.1462,26.9227,27.1053,1932525.5822494
2005-04-19,27.1223,27.3697,27.0335,27.1402,716492.03823807
2005-04-20,27.0524,27.1133,26.6554,26.6923,212424.08938509
2005-04-21,27.1133,27.3697,26.9477,27.3527,330150.69964453
2005-04-22,27.4226,27.4226,26.7501,26.9407,405534.61993412
2005-04-25,27.1303,27.2151,26.9986,27.1801,585037.75649496
2005-04-26,27.0335,27.2749,26.9896,26.9896,542697.07115002
2005-04-27,27.0335,27.1462,26.7761,27.0255,1277917.3177462
2005-04-28,26.82,26.9896,26.6214,26.6314,371684.52345732
2005-04-29,26.803,26.828,26.3171,26.6923,922172.5693768
2005-05-02,27.4385,27.4385,26.6833,26.828,303165.44122203
2005-05-03,26.7851,27.0704,26.7322,26.9317,659722.06268586
2005-05-04,27.1642,27.5154,27.0604,27.5054,1399481.7824238
2005-05-05,27.4665,27.6341,27.2749,27.3438,452769.59703247
2005-05-06,27.6341,27.6341,27.2909,27.3438,322941.06610321
2005-05-09,27.4036,27.4984,27.3088,27.4984,229640.81055002
2005-05-10,27.2909,27.3697,27.1223,27.1642,247555.1411887
2005-05-11,27.1642,27.257,26.9058,27.1562,737086.55240095
2005-05-12,27.1642,27.3438,27.0075,27.0175,476619.6220729
2005-05-13,26.9896,27.2221,26.8459,26.9986,701603.68892307
2005-05-16,26.9986,27.3348,26.9986,27.3348,297114.48088713
2005-05-17,27.3787,27.6102,27.3527,27.5702,490808.35728921
2005-05-18,27.7887,28.1679,27.7029,28.11,213587.77415382
2005-05-19,28.1439,28.3664,28.102,28.3325,1160536.5052862
2005-05-20,27.6191,28.3075,27.6191,28.2537,208005.89605127
2005-05-23,28.1918,28.521,28.1918,28.4372,356095.55773117
2005-05-24,28.4283,28.4283,28.2806,28.3844,596440.06306609
2005-05-25,28.2896,28.3754,28.1679,28.2976,799788.21310505
2005-05-26,28.3664,28.4871,28.3145,28.4452,392507.5648616
2005-05-27,28.4951,28.4951,28.3923,28.4452,574570.60745116
2005-05-31,28.4023,28.4193,28.2626,28.3415,1261978.5449707
2005-06-01,28.4542,28.5809,28.2716,28.4612,778619.37390127
2005-06-02,28.3484,28.6697,28.3484,28.6088,207194.02295681
2005-06-03,28.531,28.6877,28.3484,28.4023,275245.0252722
2005-06-06,28.4452,28.4951,28.3584,28.4452,432056.80999904
2005-06-07,28.3923,28.7685,28.3923,28.4871,234410.8155581
2005-06-08,28.5809,28.5999,28.3484,28.3664,464632.96733625
2005-06-09,28.3245,28.549,28.2177,28.4771,495579.36460976
2005-06-10,28.4682,28.54,28.3325,28.4771,524780.73588641
2005-06-13,28.4951,28.6777,28.3584,28.521,413332.61089081
