Date,Open,High,Low,Close,Volume
2005-02-25,17.1552,17.183,17.0589,17.1691,588684.55155583
2005-02-28,17.2644,17.2644,17.1046,17.1343,1340702.4502964
2005-03-01,17.2187,17.31,17.2058,17.2733,596308.37300558
2005-03-02,17.1691,17.3309,17.1691,17.2276,556974.20976789
2005-03-03,17.3676,17.4033,17.2872,17.3457,386012.00358781
2005-03-04,17.4867,17.4867,17.3974,17.4361,3927375.2991338
2005-03-07,17.4361,17.4639,17.3616,17.3825,393500.81881656
2005-03-08,17.4202,17.4202,17.2644,17.3031,344636.62688941
2005-03-09,17.3031,17.3031,17.1264,17.178,332247.28734037
2005-03-10,17.1433,17.2872,17.1343,17.2127,811499.22168897
2005-03-11,17.1264,17.2356,17.045,17.0797,3442816.8142929
2005-03-14,17.1482,17.1691,17.0797,17.1343,526073.90530592
2005-03-15,17.2276,17.2276,17.0301,17.0301,340961.2336492
2005-03-16,16.9507,17.045,16.913,16.9874,657147.81823677
2005-03-17,17.045,17.0649,16.9199,17.045,252489.84351504
2005-03-18,16.913,17.045,16.8604,16.9199,547304.13731188
2005-03-21,16.9874,16.9874,16.8078,16.8247,480750.10039799
2005-03-22,16.8971,16.8971,16.7284,16.7284,990079.20426413
2005-03-23,16.7145,16.8902,16.641,16.8395,634413.37512675
2005-03-24,16.8971,16.8971,16.8018,16.8316,539951.33581323
2005-03-28,16.8604,16.9199,16.7889,16.8475,442359.97319815
2005-03-29,16.7889,16.9051,16.773,16.8078,916574.36198724
2005-03-30,16.8902,17.045,16.8604,17.0301,3060889.2526447
2005-03-31,17.0162,17.0162,16.8971,16.913,359745.23353146
2005-04-01,17.045,17.045,16.7065,16.7502,3322628.029807
2005-04-04,16.8604,16.8743,16.7373,16.8475,696755.01644379
2005-04-05,16.8683,16.9874,16.8534,16.9716,327211.7567991
2005-04-06,17.0222,17.0222,16.9051,16.9279,360968.34959331
2005-04-07,16.9944,17.045,16.8822,17.045,2664666.1442078
2005-04-08,17.0589,17.0589,16.9428,16.9636,285836.3801007
2005-04-11,17.045,17.045,16.9428,17.0073,226761.08332444
2005-04-12,17.0073,17.0966,16.8534,17.0718,615366.41536628
2005-04-13,17.0797,17.0966,16.8971,16.9944,915489.27467373
2005-04-14,17.0797,17.0797,16.9338,16.9567,873976.87673611
2005-04-15,16.9716,16.9716,16.7502,16.7949,706151.04642137
2005-04-18,16.8247,16.8604,16.641,16.6857,1671183.5741637
2005-04-19,16.8247,16.8247,16.648,16.7284,1092843.1186597
2005-04-20,16.7651,16.781,16.5031,16.519,1502810.6664012
2005-04-21,16.6907,16.8018,16.6271,16.7949,1279178.9063783
2005-04-22,16.781,16.7889,16.5378,16.6192,596445.3942448
2005-04-25,16.7065,16.7949,16.648,16.7949,773114.13203469
2005-04-26,16.6788,16.7889,16.6619,16.6698,503751.53342266
2005-04-27,16.6788,16.7651,16.5249,16.7284,1144293.5864771
2005-04-28,16.7651,16.8395,16.6271,16.6907,4338845.0429611
2005-04-29,16.6341,16.7502,16.512,16.7373,2727275.7829486
2005-05-02,16.8018,16.8743,16.7572,16.8604,289096.67958681
2005-05-03,16.8822,17.0023,16.8247,16.9338,707917.20989453
2005-05-04,17.0073,17.0718,16.9567,17.045,902693.9089526
2005-05-05,17.0718,17.1046,16.9338,17.0162,1529899.5638928
2005-05-06,17.1482,17.1482,16.9507,16.9507,2067405.6750915
2005-05-09,17.0222,17.0877,16.9636,17.05,593314.05592501
2005-05-10,17.0589,17.0589,16.8971,16.9567,1218880.4935402
2005-05-11,17.0301,17.0301,16.8316,17.0162,2164866.061522
2005-05-12,16.8604,17.0381,16.8604,16.9338,676883.91422978
2005-05-13,16.9567,16.9567,16.7065,16.7889,467003.64607522
2005-05-16,16.8604,16.9716,16.8395,16.9507,1063716.0302347
2005-05-17,16.9199,17.05,16.8971,17.0381,368181.1073254
2005-05-18,17.1343,17.2356,17.0797,17.1998,988719.06696306
2005-05-19,17.2356,17.3031,17.183,17.3031,420313.65881155
2005-05-20,17.3031,17.31,17.1919,17.2792,522806.55325603
2005-05-23,17.3378,17.3755,17.2644,17.31,690764.36726443
2005-05-24,17.31,17.31,17.2127,17.2792,3058713.032963
2005-05-25,17.2644,17.2644,17.1433,17.2187,529069.2298956
2005-05-26,17.2872,17.2872,17.2058,17.2356,395133.99108695
2005-05-27,17.3031,17.31,17.1115,17.183,435420.25043538
2005-05-31,17.2505,17.2505,17.0877,17.1264,577661.39436254
2005-06-01,17.1185,17.2733,17.0877,17.2435,619989.87468079
2005-06-02,17.2644,17.3031,17.178,17.2872,447536.55501509
2005-06-03,17.2872,17.2872,17.1046,17.1482,685734.88177783
2005-06-06,17.1691,17.1691,17.0966,17.1552,1006549.9632255
2005-06-07,17.1482,17.317,17.1482,17.2187,696076.96281148
2005-06-08,17.1919,17.2733,17.1552,17.178,246366.20313291
2005-06-09,17.178,17.2356,17.1264,17.183,897661.40093865
2005-06-10,17.2127,17.2356,17.0797,17.1691,816125.70353081
2005-06-13,17.2276,17.2644,17.1046,17.2276,865806.98534771
2005-06-14,17.178,17.2584,17.1343,17.1998,300396.90178588
2005-06-15,17.2127,17.2505,17.1046,17.2058,385199.95124362
2005-06-16,17.2276,17.2276,17.1482,17.1552,505249.69947206
2005-06-17,17.1343,17.1998,17.0877,17.1185,1117341.7102247
2005-06-20,17.1185,17.1433,17.0301,17.1115,877650.2549581
2005-06-21,17.1185,17.1482,17.05,17.0718,1021524.5711556
2005-06-22,17.1631,17.1691,17.0381,17.0877,1169472.2466926
2005-06-23,17.0797,17.0797,16.8604,16.8743,2966287.1695646
2005-06-24,16.8316,16.8683,16.6907,16.7065,447674.58376342
2005-06-27,16.7284,16.7453,16.6549,16.6907,856687.01286679
2005-06-28,16.7572,16.9199,16.7502,16.9051,1490426.3643977
2005-06-29,16.9199,16.9428,16.8316,16.8604,751202.82386909
2005-06-30,16.8316,16.8902,16.6976,16.7145,684778.75563063
2005-07-01,16.7889,16.8247,16.7214,16.773,787813.68997731
2005-07-05,16.7453,16.9051,16.7373,16.8683,1176143.9720316
2005-07-06,16.8971,16.8971,16.6976,16.7065,1591149.0653326
2005-07-07,16.641,16.6976,16.5656,16.6788,694850.8242223
2005-07-08,16.6788,16.913,16.648,16.8971,517636.01649376
2005-07-11,16.9567,17.0073,16.8971,16.9944,1208807.4174394
2005-07-12,17.0023,17.0718,16.9944,17.0073,390910.51288986
2005-07-13,17.0301,17.0877,16.9874,17.0718,422901.94972002
2005-07-14,17.1631,17.2505,17.1433,17.1691,768082.63152986
2005-07-15,17.1691,17.183,17.1185,17.1631,352801.48073225
2005-07-18,17.1343,17.2058,17.0797,17.0797,1406716.4623264
2005-07-19,17.1264,17.178,17.05,17.05,1580939.9755017
2005-07-20,16.9338,17.1433,16.9338,17.1185,860636.44858544
2005-07-21,17.1185,17.1552,17.0222,17.05,2232369.1720193
2005-07-22,17.0797,17.1552,17.0301,17.1046,3214148.5162196
2005-07-25,17.183,17.183,17.045,17.045,751882.89251962
2005-07-26,17.0797,17.1919,17.0797,17.1343,690633.39107988
2005-07-27,17.1919,17.2127,17.1433,17.178,922976.07488425
2005-07-28,17.2127,17.3616,17.1482,17.3239,2431231.3205261
2005-07-29,17.3239,17.3527,17.2435,17.2505,1804983.8067513
2005-08-01,17.2733,17.2733,17.1433,17.1631,1247331.5433511
2005-08-02,17.1552,17.2584,17.1552,17.2187,550713.54814655
2005-08-03,17.2505,17.2584,17.1631,17.2584,4171833.2800088
2005-08-04,17.178,17.2058,17.0718,17.1115,653201.40504546
2005-08-05,17.0649,17.0797,16.9874,17.0023,1866502.3131239
2005-08-08,16.9874,17.045,16.9507,16.9716,1099645.8201833
2005-08-09,17.0222,17.05,16.9567,17.0023,1097604.6067225
2005-08-10,17.0718,17.178,16.9428,16.9716,2735437.6142641
2005-08-11,17.0073,17.045,16.913,17.0162,1500496.4179711
2005-08-12,16.9874,17.0073,16.8902,16.9567,1730805.9483877
2005-08-15,16.9279,17.0718,16.9279,17.0381,1884610.2743921
2005-08-16,16.9874,17.0162,16.8604,16.8683,3328896.7515012
2005-08-17,16.7949,16.9051,16.7949,16.8604,1957699.0154058
2005-08-18,16.8247,17.1046,16.8247,17.05,2033923.1247757
2005-08-19,17.0222,17.1046,17.0222,17.0301,2386997.6404773
2005-08-22,17.0073,17.178,17.0023,17.0797,1477496.9999647
2005-08-23,17.0797,17.0966,17.0162,17.0381,1517243.2344291
2005-08-24,16.9944,17.0589,16.8743,16.8822,1403586.1315157
2005-08-25,16.9279,17.045,16.8534,16.9051,591409.86370352
2005-08-26,16.8743,17.0589,16.8247,16.8604,312238.15637804
2005-08-29,16.8247,17.0073,16.781,16.9785,369680.28088391
2005-08-30,16.9507,16.9507,16.7572,16.8902,993345.54880491
2005-08-31,16.8534,16.9716,16.773,16.9507,532468.56563915
2005-09-01,16.9944,17.0381,16.9051,16.9279,573713.97366211
2005-09-02,16.9338,17.045,16.9199,16.9567,1188666.3027834
2005-09-06,16.9874,17.1631,16.9874,17.1433,866083.04284437
2005-09-07,17.1433,17.1631,17.05,17.1552,4135221.4063915
2005-09-08,17.1919,17.1919,17.0162,17.0877,1917680.7534811
2005-09-09,17.045,17.2356,17.0073,17.1631,3309702.6954104
2005-09-12,17.1185,17.2127,17.1185,17.1998,1125783.6290733
2005-09-13,17.0797,17.1185,16.9944,17.0381,1879709.7500718
2005-09-14,17.0381,17.045,16.913,16.9279,2442528.5201979
2005-09-15,16.9944,17.0073,16.9199,16.9944,1347919.238065
2005-09-16,17.045,17.045,16.9199,16.9567,2013505.952623
2005-09-19,16.9874,17.045,16.8157,16.8534,2745925.784119
2005-09-20,17.5512,17.5512,16.7145,16.7502,1343563.7761742
2005-09-21,16.648,16.648,16.5309,16.5458,2515758.3124872
2005-09-22,16.4564,16.6788,16.4564,16.6698,1242020.9628223
2005-09-23,16.6043,16.7502,16.6043,16.6976,1322327.4991136
2005-09-26,16.8018,16.8018,16.6043,16.641,1474230.6554239
2005-09-27,16.6341,16.8534,16.6341,16.8157,1153280.5677553
2005-09-28,16.7889,16.9716,16.7889,16.8395,1856021.1958328
2005-09-29,16.7502,16.9944,16.7502,16.9874,3122817.8152259
2005-09-30,16.9567,17.1046,16.913,17.1046,1130005.0922521
2005-10-03,17.045,17.1552,17.045,17.0797,1330086.3267844
2005-10-04,17.1264,17.1482,17.0073,17.0073,956049.5765006
2005-10-05,17.045,17.045,16.8683,16.8902,1549907.687346
2005-10-06,16.8604,16.9944,16.6907,16.7949,1583118.2102016
2005-10-07,16.7949,16.8475,16.7284,16.781,1407672.5884736
2005-10-10,16.8604,16.8743,16.7065,16.7214,1047926.347433
2005-10-11,16.7145,16.8247,16.7145,16.7214,1028595.270103
2005-10-12,16.7214,16.773,16.6043,16.6619,1921085.1267702
2005-10-13,16.6619,16.6698,16.5458,16.6192,1531938.7623353
2005-10-14,16.641,16.7502,16.5656,16.7145,1114349.4081623
2005-10-17,16.641,16.913,16.6043,16.8971,3038156.8245529
2005-10-18,16.8604,16.8683,16.773,16.773,1573454.1828003
2005-10-19,16.6907,16.9567,16.6857,16.9507,2139542.3199944
2005-10-20,17.0381,17.045,16.7572,16.8157,1243110.0801723
2005-10-21,16.8604,16.8902,16.7284,16.8018,876019.09770593
2005-10-24,16.7889,16.9636,16.7889,16.9507,1167840.0819313
2005-10-25,16.8604,16.9279,16.7889,16.8902,306799.622192
2005-10-26,16.9716,16.9874,16.8157,16.8395,1379222.5461717
2005-10-27,16.8018,16.8018,16.6619,16.6788,1447684.8053436
2005-10-28,16.7502,16.9785,16.7502,16.9567,865125.90918807
2005-10-31,17.045,17.1046,16.9636,17.0222,2260820.2218302
2005-11-01,17.1433,17.1433,16.9199,16.9279,821844.32524996
2005-11-02,16.9199,16.9944,16.8683,16.9716,1381944.8357921
2005-11-03,17.0966,17.1631,16.9944,17.0381,925701.38703194
2005-11-04,17.0649,17.0797,16.9636,17.0301,509193.09013604
2005-11-07,17.1115,17.1115,16.9716,17.0649,1449728.0338225
2005-11-08,16.9428,17.05,16.9428,17.0162,899563.57814192
2005-11-09,16.9874,17.1264,16.9716,17.045,946659.59157769
2005-11-10,17.045,17.2872,17.045,17.2435,2341398.7855818
2005-11-11,17.2584,17.2792,17.1998,17.2644,483469.36749101
2005-11-14,17.2644,17.2792,17.183,17.1998,1344922.9059662
2005-11-15,17.1343,17.2058,17.0797,17.1115,940261.90871712
2005-11-16,17.1115,17.1631,17.0718,17.1552,2405102.5792181
2005-11-17,17.183,17.183,17.0966,17.1482,730103.56804768
2005-11-18,17.2584,17.2584,17.0797,17.1919,820074.13174035
2005-11-21,17.1691,17.2584,17.1552,17.2127,1061945.8367251
2005-11-22,17.2127,17.3378,17.2127,17.3309,1612657.3698534
2005-11-23,17.3378,17.4122,17.3031,17.3974,2222709.1746544
2005-11-25,17.448,17.4708,17.4033,17.4122,125221.29249983
2005-11-28,17.3676,17.4291,17.317,17.3309,687228.01028166
2005-11-29,17.3974,17.4361,17.31,17.317,1209221.5036844
2005-11-30,17.3378,17.4122,17.178,17.178,1507982.2106725
2005-12-01,17.3378,17.3378,17.2058,17.2941,1095704.4445375
2005-12-02,17.178,17.31,17.178,17.2872,674983.75204474
2005-12-05,17.2127,17.2644,17.183,17.2187,1723590.1681283
2005-12-06,17.2058,17.31,17.1919,17.2058,1410942.9630508
2005-12-07,17.2644,17.2644,17.1115,17.1631,1593735.3412228
2005-12-08,17.1919,17.2356,17.0797,17.1343,899428.57192093
2005-12-09,17.2276,17.2276,17.1433,17.1631,1720997.8471833
2005-12-12,17.183,17.2792,17.1691,17.1998,1258759.7192074
2005-12-13,17.1919,17.4639,17.1919,17.4122,2667929.4662212
2005-12-14,17.4033,17.6038,17.3755,17.5591,2248433.9048085
2005-12-15,17.4867,17.6544,17.4867,17.5879,2208148.6529692
2005-12-16,17.5016,17.6207,17.4797,17.4867,1672270.6764954
2005-12-19,17.4202,17.5433,17.4202,17.4549,1020430.4162601
2005-12-20,17.3974,17.448,17.3239,17.3527,1188530.2890533
2005-12-21,17.4867,17.4867,17.3616,17.4033,1842545.7614612
2005-12-22,17.3825,17.4291,17.3309,17.4202,1824714.8651988
2005-12-23,17.4202,17.4202,17.3755,17.3884,432832.96703602
2005-12-27,17.4122,17.4202,17.2356,17.2733,1160902.3741868
2005-12-28,17.3309,17.3378,17.2733,17.2941,1026827.0916116
2005-12-29,17.2356,17.317,17.2127,17.2505,1000559.3140461
2005-12-30,17.178,17.2356,17.1115,17.1115,378258.21346262
2006-01-03,17.1264,17.2435,17.0301,17.2187,1868544.5340938
2006-01-04,17.2276,17.2872,17.2276,17.2792,1530305.5900649
2006-01-05,17.2941,17.317,17.1691,17.1919,2458591.2379689
2006-01-06,17.2584,17.2733,17.1552,17.2644,1540245.6749629
2006-01-09,17.2435,17.3616,17.2276,17.3457,2333095.9029906
2006-01-10,17.3031,17.3239,17.2435,17.3031,1557936.5274588
2006-01-11,17.2644,17.3309,17.2584,17.317,983682.52891268
2006-01-12,17.2505,17.3239,17.2276,17.2733,2029429.6341366
2006-01-13,17.2644,17.3378,17.2187,17.2505,1885965.3741476
2006-01-17,17.1185,17.2127,17.1185,17.183,1073651.0775871
2006-01-18,17.1631,17.2644,17.1552,17.2584,1591420.0852837
2006-01-19,17.178,17.2941,17.178,17.2733,1582164.0990726
2006-01-20,17.3031,17.3031,17.0222,17.0222,11328333.718311
2006-01-23,17.0589,17.1185,17.0162,17.0381,1941367.2927019
2006-01-24,17.1264,17.1343,17.0381,17.0966,1626400.8016488
2006-01-25,17.1264,17.1343,17.05,17.1115,1539291.5638339
2006-01-26,17.1552,17.2435,17.1115,17.1482,1673226.8026426
2006-01-27,17.2187,17.3031,17.1264,17.2872,1431897.1375601
2006-01-30,17.1919,17.317,17.1919,17.2187,1042889.8093826
2006-01-31,17.178,17.2058,17.0877,17.1433,1287350.8127849
2006-02-01,17.0877,17.2187,17.0877,17.183,2308461.2976955
2006-02-02,17.2505,17.2644,17.1115,17.178,2968331.4055527
