Date,Open,High,Low,Close,Volume
2005-02-25,25.0154,25.2902,25.0154,25.2554,542849.05791748
2005-02-28,25.346,25.346,24.7854,24.876,944473.42793505
2005-03-01,25.0154,25.1329,25.0064,25.0771,473326.79651487
2005-03-02,25.099,25.2813,24.9815,25.099,918673.97079661
2005-03-03,25.2624,25.2813,24.9975,25.0771,378977.16448309
2005-03-04,25.1986,25.3231,25.1827,25.3082,404289.5741453
2005-03-07,25.2624,25.4944,25.2624,25.3629,531220.17178369
2005-03-08,25.4306,25.4306,25.1678,25.1986,885608.97037854
2005-03-09,25.2902,25.2902,24.9975,25.0423,467512.35344797
2005-03-10,25.1827,25.2205,25.0522,25.1329,699579.93155072
2005-03-11,25.2205,25.2205,24.8521,24.9347,519230.77009532
2005-03-14,24.9746,24.9905,24.7684,24.9746,1448207.0502915
2005-03-15,25.0333,25.0522,24.6689,24.6848,833410.53580615
2005-03-16,24.628,24.6938,24.404,24.4468,2720182.2476896
2005-03-17,24.5384,24.5653,24.3731,24.5294,237628.95732631
2005-03-18,24.4209,24.5563,24.2755,24.4209,1556604.7382926
2005-03-21,24.4896,24.5055,24.2158,24.3233,808342.15199287
2005-03-22,24.4797,24.5294,24.2825,24.3323,282205.34995091
2005-03-23,24.3323,24.644,24.3323,24.5972,332829.16505371
2005-03-24,24.7286,24.7854,24.5812,24.6041,741602.58864524
2005-03-28,24.7286,24.7286,24.5882,24.5882,294922.81229964
2005-03-29,24.6041,24.6848,24.4896,24.5055,636714.65513782
2005-03-30,24.5384,24.8919,24.5384,24.8919,369044.40863255
2005-03-31,24.8919,24.8919,24.6211,24.6519,1088362.3157411
2005-04-01,24.8043,24.8521,24.39,24.4378,417493.07974867
2005-04-04,24.5653,24.6848,24.4378,24.5653,261371.76862694
2005-04-05,24.7943,25.0672,24.7854,25.0602,553263.84013627
2005-04-06,25.107,25.2464,25.0602,25.0771,1478598.812809
2005-04-07,25.0602,25.34,24.8999,25.3321,1220263.810302
2005-04-08,25.3082,25.353,25.099,25.1488,669661.15740702
2005-04-11,25.2624,25.2624,25.099,25.1239,505305.22916119
2005-04-12,25.0522,25.3082,24.8919,25.2902,451893.6948954
2005-04-13,25.3321,25.5133,25.1827,25.4057,509420.52928004
2005-04-14,25.4695,25.4695,25.2554,25.3082,1390429.1605067
2005-04-15,25.3888,25.6786,25.3888,25.4306,4898355.9709413
2005-04-18,25.9246,25.9246,25.0771,25.2554,1397455.6990454
2005-04-19,25.2992,25.3719,25.0771,25.2385,1122637.4031878
2005-04-20,25.3082,25.3082,24.869,24.9258,524561.17835078
2005-04-21,25.2205,25.2902,25.0423,25.2624,520198.83971821
2005-04-22,25.3719,25.3719,25.0602,25.1767,963125.83994274
2005-04-25,25.2624,25.346,25.1239,25.2305,417248.04967815
2005-04-26,25.2624,25.3321,25.0771,25.0771,418098.62537377
2005-04-27,25.0423,25.3231,24.9258,25.2624,410711.57128049
2005-04-28,25.1239,25.3082,25.099,25.1419,421244.85164814
2005-04-29,25.2464,25.5133,25.107,25.5133,520565.38060239
2005-05-02,25.6358,25.6358,25.4854,25.6188,608862.56904795
2005-05-03,25.6358,25.7194,25.4944,25.6039,3556372.4688859
2005-05-04,25.7194,25.8678,25.5949,25.8598,644950.27648352
2005-05-05,25.9246,25.9246,25.7443,25.8509,771520.35856734
2005-05-06,26.051,26.051,25.7354,25.7354,2058636.2050362
2005-05-09,25.811,25.9405,25.6706,25.9246,1254898.4090816
