Date,Open,High,Low,Close,Volume
2005-02-25,24.4071,24.7626,24.3375,24.7537,1247923.2229625
2005-02-28,24.7447,24.7447,24.3594,24.5153,2745789.5545992
2005-03-01,24.6861,24.7447,24.4696,24.5491,2167164.0837021
2005-03-02,24.4855,24.5739,24.279,24.4776,1029939.8051708
2005-03-03,24.4617,24.6206,24.3435,24.4537,595617.27252414
2005-03-04,24.6424,25.2254,24.5968,25.2194,1623406.2932045
2005-03-07,25.2333,25.2333,24.9424,24.9424,1491267.9745367
2005-03-08,24.9424,25.0069,24.8411,24.8798,1107166.6625094
2005-03-09,24.998,25.1718,24.9046,24.9354,2952106.7789893
2005-03-10,25.0228,25.0387,24.4438,24.6206,4654386.2463123
2005-03-11,24.565,24.9652,24.565,24.7696,3924478.8637084
2005-03-14,24.6861,24.8321,24.556,24.7626,1594492.5400951
2005-03-15,24.9195,24.9195,24.6345,24.6424,1496726.4964105
2005-03-16,24.4438,24.5491,24.0764,24.1151,6231759.10574
2005-03-17,24.1707,24.4696,24.1071,24.4001,3266341.8304125
2005-03-18,24.4001,24.416,24.1628,24.3137,3044300.5186618
2005-03-21,24.4438,24.4438,24.0853,24.1707,1622390.3093324
2005-03-22,24.2561,24.5153,24.0674,24.0922,1757826.2961679
2005-03-23,24.0764,24.1399,23.8301,23.8559,2687714.3456722
2005-03-24,24.0495,24.0853,23.8479,23.8559,2124804.906763
2005-03-28,23.9741,23.9741,23.7218,23.7218,1475418.021979
2005-03-29,23.6662,23.9264,23.1835,23.1925,2863088.8699735
2005-03-30,23.2739,23.5838,23.2739,23.5838,2642689.8473164
2005-03-31,23.7377,23.8767,23.6563,23.7824,1932056.9575567
2005-04-01,23.6662,24.0674,23.6255,23.7149,2483424.0544184
2005-04-04,23.5838,23.5838,23.3971,23.5699,1062910.4453176
2005-04-05,23.5003,23.6821,23.4765,23.6175,578500.61262142
2005-04-06,23.7059,23.8479,23.7059,23.7377,1298522.0391735
2005-04-07,23.839,24.0048,23.7913,23.9969,1737914.4219649
2005-04-08,24.0048,24.0356,23.6334,23.6493,1194537.2478238
