Date,Open,High,Low,Close,Volume
2005-02-25,19.2341,19.5952,19.1676,19.5357,5312325.3106494
2005-02-28,19.5833,19.622,19.3273,19.4017,2949099.769843
2005-03-01,19.4355,19.5882,19.368,19.4573,2216046.0897938
2005-03-02,19.5357,19.5575,19.3422,19.4355,3848479.9081301
2005-03-03,19.5357,19.5833,19.368,19.5357,3462048.0430105
2005-03-04,19.6646,19.87,19.5724,19.8412,2560565.2115372
2005-03-07,19.87,20.0238,19.87,19.9831,1691423.1318312
2005-03-08,20.0168,20.0168,19.7976,19.8492,2637969.7224525
2005-03-09,19.9513,19.9513,19.4752,19.496,6404101.875475
2005-03-10,19.5357,19.6825,19.3898,19.622,3592305.1482848
2005-03-11,19.6378,19.7281,19.489,19.5357,2629737.3661477
2005-03-14,19.5505,19.8492,19.5079,19.8363,828416.76325861
2005-03-15,19.8412,19.9831,19.7519,19.7519,3819585.5168632
2005-03-16,19.7371,19.8025,19.4702,19.5724,6061539.2865573
2005-03-17,19.6011,19.745,19.5833,19.6825,1248090.5343681
2005-03-18,19.6706,19.6706,19.3502,19.4752,2024104.2723766
2005-03-21,19.5724,19.5724,19.4156,19.4702,1387782.5429131
2005-03-22,19.489,19.5505,19.0555,19.0763,5557869.6762753
2005-03-23,19.0882,19.0882,18.7886,18.9801,9841747.1862971
2005-03-24,19.0684,19.2619,19.0347,19.1845,3561465.3122195
2005-03-28,19.3045,19.3502,19.1984,19.2172,1224738.1407703
2005-03-29,19.3045,19.3045,18.9494,18.9752,1954933.1257686
2005-03-30,19.0882,19.2837,18.9801,19.2837,1758197.248527
2005-03-31,19.3571,19.496,19.1676,19.4702,1151819.2409186
2005-04-01,19.6378,19.7023,19.3839,19.5357,2552480.0235954
2005-04-04,19.6954,19.6954,19.4097,19.5882,2507107.8156866
2005-04-05,19.5724,19.7142,19.5505,19.7023,1831862.0702185
2005-04-06,19.7569,19.8303,19.6378,19.6468,1138792.8247894
2005-04-07,19.7023,19.8492,19.6646,19.8234,1512949.2356321
2005-04-08,19.9057,19.9057,19.6299,19.6706,1586765.2576965
2005-04-11,19.7906,19.9166,19.6517,19.865,2198681.2309641
2005-04-12,19.9702,20.1031,19.6825,20.0486,1152268.8100274
2005-04-13,20.1031,20.1031,19.8759,19.9107,1015422.3925009
2005-04-14,19.8412,19.9702,19.7023,19.7222,1173828.9752048
2005-04-15,19.6646,19.7906,19.3422,19.3759,1751909.3290181
2005-04-18,19.3611,19.5436,19.2341,19.4503,1481509.6380875
2005-04-19,19.5009,19.7371,19.368,19.7222,1204973.2280209
2005-04-20,19.7708,19.7708,19.5436,19.5505,1166939.2782116
2005-04-21,19.4424,19.7906,19.4424,19.7222,5761640.4028681
2005-04-22,19.8025,19.87,19.6894,19.8492,3232517.8128829
2005-04-25,19.9702,20.0168,19.87,19.9831,969158.1023918
2005-04-26,20.0238,20.0238,19.7281,19.7281,1868398.1283333
2005-04-27,19.8363,19.9702,19.5833,19.8759,861957.03798443
2005-04-28,19.9662,19.9702,19.7222,19.7906,3343317.446166
2005-04-29,19.7371,20.0783,19.7371,20.0704,1408143.1851319
2005-05-02,20.1835,20.2371,20.0654,20.124,1640514.9742681
2005-05-03,20.2371,20.2371,19.9662,20.0238,3436594.9722315
2005-05-04,20.1547,20.1547,19.8988,20.0406,2239408.5634165
2005-05-05,20.1696,20.1696,19.7767,19.9662,1569248.1904913
2005-05-06,19.9057,20.0297,19.8988,19.9166,2245248.9298215
2005-05-09,19.9166,20.0932,19.7906,20.0853,4698459.8605735
2005-05-10,20.1031,20.1031,19.9166,19.9355,1254978.2153563
2005-05-11,20.0367,20.0654,19.8412,20.0297,1026051.7787179
2005-05-12,20.0932,20.0932,19.7976,19.8025,1170086.2619735
2005-05-13,19.745,20.0039,19.1676,19.4821,3071574.0879213
2005-05-16,19.489,19.6051,19.3839,19.6051,4485252.2147049
2005-05-17,19.7023,19.865,19.5436,19.8363,1148676.2891666
2005-05-18,19.9662,20.0109,19.8234,19.8412,1897592.9043411
2005-05-19,19.9166,19.9831,19.8363,19.9583,732443.83854502
2005-05-20,19.7093,19.9831,19.7093,19.9513,1300339.3352378
2005-05-23,19.8492,19.9513,19.8025,19.8759,942056.94754782
2005-05-24,19.8908,19.9355,19.8025,19.8759,677046.03790844
2005-05-25,19.9236,19.9583,19.8164,19.9285,597092.28870554
2005-05-26,19.8492,20.0297,19.8492,19.9831,1318013.6508308
2005-05-27,19.9831,20.0853,19.9355,20.0654,2133699.3426887
2005-05-31,20.117,20.1904,20.0039,20.0575,2310972.7079268
2005-06-01,20.1289,20.4107,20.0704,20.3174,3189546.6668962
2005-06-02,20.368,20.368,20.2688,20.2916,2078903.3195364
2005-06-03,20.3174,20.3978,20.1835,20.3551,1742625.6261202
2005-06-06,20.368,20.368,20.2371,20.3392,1391228.9034135
2005-06-07,20.3392,20.6101,20.3392,20.3839,4649350.9874483
2005-06-08,20.4394,20.5585,20.3769,20.4255,1538705.7151594
2005-06-09,20.4037,20.4444,20.2688,20.4444,1489145.2569204
2005-06-10,20.4325,20.5843,20.4186,20.5188,1851474.7745925
2005-06-13,20.5714,20.6378,20.4325,20.6031,715978.11793294
2005-06-14,20.623,20.745,20.5843,20.6597,1773919.0633043
2005-06-15,20.6468,20.7043,20.4394,20.5585,776912.87622622
2005-06-16,20.6716,20.6716,20.4107,20.5277,1735442.6004035
2005-06-17,20.5188,20.6716,20.4186,20.616,1382392.7536194
2005-06-20,20.6656,20.6716,20.4702,20.6597,2027101.0637681
2005-06-21,20.6031,20.7222,20.6031,20.6865,1117836.4531013
2005-06-22,21.3214,21.3214,20.6378,20.872,2843994.3426045
2005-06-23,20.9047,21.0376,20.8263,20.9315,2034434.2818552
2005-06-24,20.9722,20.9999,20.7658,20.7847,1359934.4582269
2005-06-27,20.8333,20.9156,20.7172,20.9097,1357089.8752108
2005-06-28,20.9999,21.1249,20.9097,21.121,1661625.5703366
2005-06-29,21.2271,21.2271,20.9999,21.0605,3520438.6030286
2005-06-30,21.1438,21.2509,21.0605,21.0813,3455905.2758596
2005-07-01,21.1785,21.2996,21.0872,21.2718,957630.58595961
2005-07-05,21.2509,21.3918,21.1507,21.3154,1630333.141155
2005-07-06,21.3154,21.3799,20.9533,20.9533,1816590.8325526
2005-07-07,20.8095,21.1507,20.7043,21.121,3257677.5549385
2005-07-08,21.1587,21.364,21.1051,21.364,2223836.9410097
2005-07-11,21.4424,21.5267,21.364,21.4831,2143581.7990634
2005-07-12,21.6041,21.6269,21.4503,21.5486,2891300.9072843
2005-07-13,21.5982,21.6537,21.5267,21.6041,2923339.2583057
2005-07-14,21.7321,21.7757,21.2718,21.3918,2249889.773268
2005-07-15,21.3918,21.4722,21.3075,21.3849,1619709.802953
2005-07-18,21.3849,21.4345,21.3283,21.372,1567004.376957
2005-07-19,21.3799,21.4424,21.2867,21.3918,1617907.4945076
2005-07-20,21.4345,21.5188,21.2509,21.5049,1415931.0123403
2005-07-21,21.5406,21.5406,21.0376,21.121,5660280.7128683
2005-07-22,21.0605,21.3343,21.0605,21.2371,1802813.4545712
2005-07-25,21.3849,21.4771,21.243,21.243,2138947.0036319
2005-07-26,21.3501,21.4216,21.2569,21.3214,4708496.5413286
2005-07-27,21.4057,21.4503,21.2996,21.4136,5932926.2333381
2005-07-28,21.4345,21.5624,21.3214,21.5486,3905823.1535651
2005-07-29,21.6805,21.6805,21.5267,21.5565,4580026.6244624
2005-08-01,21.6745,21.6984,21.2371,21.2718,2946402.3551899
2005-08-02,21.3402,21.7668,21.3075,21.7668,4878124.2077088
2005-08-03,21.7668,22.0396,21.6329,21.8263,7898341.5769607
2005-08-04,21.9077,21.9077,21.6478,21.6874,2507562.4248079
2005-08-05,21.6805,21.6805,21.1785,21.3154,4158855.9696609
2005-08-08,21.2936,21.4057,20.8174,20.8769,10446031.572742
2005-08-09,20.9047,21.0982,20.9047,21.0982,4214552.1390334
2005-08-10,21.0376,21.4285,20.993,21.0932,4222639.3429802
2005-08-11,21.1736,21.3075,21.0168,21.2212,1533011.5091149
2005-08-12,21.2142,21.2638,21.0376,21.2003,2304239.2513189
2005-08-15,21.2321,21.2996,21.1438,21.2797,1606531.1784484
2005-08-16,21.2212,21.2996,20.9464,20.9464,3013478.8726316
2005-08-17,21.0049,21.0049,20.7301,20.9246,3523134.0016767
2005-08-18,20.8402,21.0376,20.745,21.0049,2563707.1552867
2005-08-19,21.1507,21.1507,21.0287,21.1309,1394071.4704245
2005-08-22,21.1507,21.3283,21.1051,21.2718,1770919.2479053
2005-08-23,21.3214,21.491,21.2867,21.4503,4494090.3805039
