Date,Open,High,Low,Close,Volume
2011-01-07,35052,35052,30472,31216,101
2011-01-10,31856,32348,31104,31152,176
2011-01-11,30688,30904,30204,30292,152
2011-01-12,29644,29708,28864,28940,112
2011-01-13,28912,29216,28596,28600,35
2011-01-14,28800,28800,27120,27420,114
2011-01-18,27208,27352,26568,26584,51
2011-01-19,26724,28500,26656,27968,138
2011-01-20,28156,28816,27572,27724,246
2011-01-21,27012,28248,26948,27988,76
2011-01-24,28040,28180,27324,27384,88
2011-01-25,27676,28068,27036,27036,63
2011-01-26,26776,26948,26064,26192,81
2011-01-27,26228,26340,25640,25700,35
2011-01-28,25596,28192,25452,27852,138
2011-01-31,27484,27924,27352,27740,67
2011-02-01,27112,27112,26152,26420,95
2011-02-02,26624,26680,25964,26312,50
2011-02-03,26412,27072,25920,26000,43
2011-02-04,25960,25980,25340,25388,70
2011-02-07,25096,25096,24644,24920,52
2011-02-08,24876,25200,24504,24580,59
2011-02-09,24844,25200,24644,24700,138
2011-02-10,25348,25348,24604,24680,81
2011-02-11,26268,26268,24260,24280,102
2011-02-14,24292,24408,24060,24064,97
2011-02-15,24196,24412,24112,24388,76
2011-02-16,24040,24676,23820,24676,119
2011-02-18,24912,25400,24840,25176,87
2011-02-22,26700,28460,25824,28320,275
2011-02-23,28348,30332,28044,29572,281
2011-02-24,29532,30120,28988,29180,68
2011-02-25,28324,28384,27360,27396,121
2011-02-28,26552,26632,26032,26216,154
2011-03-01,25964,28184,25900,28132,246
2011-03-02,28200,28508,27436,28240,197
2011-03-03,26932,27172,26740,26780,74
2011-03-04,26624,28048,26576,27544,109
2011-03-07,26892,29004,26864,28244,117
2011-03-08,28056,28808,27416,27628,42
2011-03-09,27992,28760,27872,27996,59
2011-03-10,29048,29624,28728,29416,99
2011-03-11,29900,30004,28460,28608,95
2011-03-14,29580,29792,28872,28984,64
2011-03-15,32108,32108,29644,30152,371
2011-03-16,30408,33996,30232,32864,668
2011-03-17,31000,31860,30728,31636,269
2011-03-18,30192,31080,30192,30684,116
2011-03-21,29348,29348,28276,28284,221
2011-03-22,28068,28436,27924,28044,108
2011-03-23,28392,28876,27016,27092,253
2011-03-24,26284,26764,26144,26372,251
2011-03-25,26068,26412,25688,26348,390
2011-03-28,26200,26696,25844,26684,264
2011-03-29,26664,27060,26024,26044,210
2011-03-30,25708,25836,25376,25552,283
